index,name,upright,reversed
3,Four of Pentacles,"Saving money, security, conservatism, scarcity, control","Over-spending, greed, self-protection"
4,Five of Pentacles,"Financial loss, poverty, lack mindset, isolation, worry","Recovery from financial loss, spiritual poverty"
5,Six of Pentacles,"Giving, receiving, sharing wealth, generosity, charity","Self-care, unpaid debts, one-sided charity"
6,Seven of Pentacles,"Long-term view, sustainable results, perseverance, investment","Lack of long-term vision, limited success or reward"
7,Eight of Pentacles,"Apprenticeship, repetitive tasks, mastery, skill development","Self-development, perfectionism, misdirected activity"
8,Nine of Pentacles,"Abundance, luxury, self-sufficiency, financial independence","Self-worth, over-investment in work, hustling"
9,Ten of Pentacles,"Wealth, financial security, family, long-term success, contribution","The dark side of wealth, financial failure or loss"
10,Page of Pentacles,"Manifestation, financial opportunity, skill development","Lack of progress, procrastination, learning from failure"
11,Knight of Pentacles,"Hard work, productivity, routine, conservatism","Self-discipline, boredom, feeling stuck, perfectionism"
12,Queen of Pentacles,"Nurturing, practical, providing financially, a working parent","Financial independence, self-care, work-home imbalance"
13,King of Pentacles,"Wealth, business, leadership, security, discipline, abundance","Financially inept, obsessed with wealth and status, stubborn"
0,Ace of Swords,"Breakthroughs, new ideas, clarity, success","Inner clarity, clouded judgment, rethinking an idea"
1,Two of Swords,"Difficult decisions, weighing options, stalemate, truce","Indecision, confusion, information overload"
2,Three of Swords,"Heartbreak, emotional pain, sorrow, grief, hurt","Releasing pain, optimism, forgiveness"
3,Four of Swords,"Rest, relaxation, meditation, contemplation, recuperation","Exhaustion, burn-out, lack of progress"
4,Five of Swords,"Conflict, disagreements, competition, defeat, winning at all costs","Reconciliation, making amends, past resentment"
5,Six of Swords,"Transition, change, rite of passage, releasing baggage","Personal transition, resistance to change, unfinished business"
6,Seven of Swords,"Betrayal, deception, getting away with something, stealth","Coming clean, rethinking approach, deception exposed"
7,Eight of Swords,"Negative thoughts, self-imposed restrictions, imprisonment","Self-limiting beliefs, inner critic, releasing negative thoughts"
8,Nine of Swords,"Anxiety, worry, fear, depression, nightmares","Inner turmoil, deep-seated fears, secrets, releasing worry"
9,Ten of Swords,"Painful endings, deep wounds, betrayal, loss, crisis","Recovery, regeneration, resisting an inevitable end"
10,Page of Swords,"New ideas, curiosity, thirst for knowledge, new ways of communicating","Self-expression, all talk and no action, haphazard action"
11,Knight of Swords,"Ambitious, action-oriented, driven to succeed, fast-thinking","Restless, unfocused, impulsive, burn-out"
12,Queen of Swords,"Independent, unbiased judgment, clear boundaries, direct communication","Overly emotional, easily influenced, cold-hearted"
13,King of Swords,"Mental clarity, intellectual power, authority, truth","Quiet power, inner truth, misuse of power, manipulation"
0,The Fool,"Beginnings, innocence, spontaneity, a free spirit","Holding back, recklessness, risk-taking"
1,The Magician,"Manifestation, resourcefulness, power, inspired action","Manipulation, poor planning, untapped potential"
2,The High Priestess,"Intuition, sacred knowledge, divine feminine, the subconscious mind","Secrets, disconnected from intuition, withdrawal, silence"
3,The Empress,"Femininity, beauty, nature, nurturing, abundance","Creative block, dependence on others"
4,The Emperor,"Authority, establishment, structure, a father figure","Domination, excessive control, lack of discipline, inflexibility"
5,The Hierophant,"Spiritual wisdom, religious beliefs, conformity, tradition, institutions","Personal beliefs, freedom, challenging the status quo"
6,The Lovers,"Love, harmony, partnerships, values alignment, choices","Self-love, disharmony, imbalance, misalignment of values"
7,The Chariot,"Control, willpower, success, action, determination","Self-discipline, opposition, lack of direction"
8,Strength,"Strength, courage, persuasion, influence, compassion","Inner strength, self-doubt, low energy, raw emotion"
9,The Hermit,"Soul-searching, introspection, being alone, inner guidance","Isolation, loneliness, withdrawal"
10,Wheel of Fortune,"Good luck, karma, life cycles, destiny, a turning point","Bad luck, resistance to change, breaking cycles"
11,Justice,"Justice, fairness, truth, cause and effect, law","Unfairness, lack of accountability, dishonesty"
12,The Hanged Man,"Pause, surrender, letting go, new perspectives","Delays, resistance, stalling, indecision"
13,Death,"Endings, change, transformation, transition","Resistance to change, personal transformation, inner purging"
14,Temperance,"Balance, moderation, patience, purpose","Imbalance, excess, self-healing, re-alignment"
15,The Devil,"Shadow self, attachment, addiction, restriction, sexuality","Releasing limiting beliefs, exploring dark thoughts, detachment"
16,The Tower,"Sudden change, upheaval, chaos, revelation, awakening","Personal transformation, fear of change, averting disaster"
17,The Star,"Hope, faith, purpose, renewal, spirituality","Lack of faith, despair, self-trust, disconnection"
18,The Moon,"Illusion, fear, anxiety, subconscious, intuition","Release of fear, repressed emotion, inner confusion"
19,The Sun,"Positivity, fun, warmth, success, vitality","Inner child, feeling down, overly optimistic"
20,Judgement,"Judgement, rebirth, inner calling, absolution","Self-doubt, inner critic, ignoring the call"
21,The World,"Completion, integration, accomplishment, travel","Seeking closure, short-cuts, delays"
